Date,XLK,XLC,XLY,XLE,XLI,XLV,XLP,XLB
2020-07-13,50.5400505065918,53.31629180908203,62.71147537231445,14.011480331420898,62.42727279663086,91.96617889404297,51.39218521118164,25.786163330078125
2020-07-14,51.12262725830078,53.844356536865234,63.33563995361328,14.50298023223877,63.78021240234375,93.79134368896484,52.14344024658203,26.43537712097168
2020-07-15,51.39958190917969,54.164974212646484,64.24090576171875,14.81610107421875,65.40740203857422,95.00810241699219,52.18613052368164,26.880035400390625
2020-07-16,50.76449203491211,54.259273529052734,64.06939697265625,14.7487211227417,65.4256820678711,94.85374450683594,52.29710006713867,26.968978881835938
2020-07-17,51.01279067993164,54.136680603027344,63.76922607421875,14.54261302947998,65.81877899169922,96.15225219726562,52.578819274902344,27.19575309753418
2020-07-20,52.316410064697266,54.787330627441406,64.78884887695312,14.300830841064453,65.01432037353516,96.13407897949219,52.049537658691406,26.9600772857666
2020-07-21,51.791141510009766,54.5233039855957,64.88888549804688,15.164901733398438,65.87360382080078,96.07051849365234,52.50199508666992,27.19575309753418
2020-07-22,52.206581115722656,54.57989501953125,65.44637298583984,14.978618621826172,66.40382385253906,96.93314361572266,52.9202995300293,27.511470794677734
2020-07-23,50.85044479370117,53.693477630615234,64.46484375,14.950870513916016,66.20270538330078,96.49729919433594,53.10811996459961,27.42698097229004
2020-07-24,50.23444366455078,53.60860061645508,64.57919311523438,14.867629051208496,65.67249298095703,95.43489837646484,53.039817810058594,27.333602905273438
2020-07-27,51.027122497558594,53.976383209228516,64.97940826416016,14.883487701416016,65.94674682617188,96.15225219726562,53.3044548034668,27.729352951049805
2020-07-28,50.430233001708984,53.420013427734375,64.336181640625,14.629815101623535,65.48966979980469,96.04328155517578,53.50081253051758,27.120161056518555
2020-07-29,51.160823822021484,53.91037368774414,64.98896026611328,14.935016632080078,66.4861068725586,97.05119323730469,53.577632904052734,27.34249496459961
2020-07-30,51.447330474853516,54.06123352050781,64.9365234375,14.348394393920898,65.81877899169922,96.3792495727539,53.577632904052734,26.813344955444336
2020-07-31,52.73185348510742,54.81562805175781,65.27482604980469,14.281012535095215,65.57193756103516,95.82535552978516,53.52642059326172,26.84001922607422
2020-08-03,54.03067398071289,54.86277389526367,65.13664245605469,14.332539558410645,65.84618377685547,96.81512451171875,53.381290435791016,26.688838958740234
2020-08-04,54.169151306152344,55.2116813659668,65.66075897216797,14.681340217590332,66.0107421875,96.38834381103516,54.04717254638672,27.066802978515625
2020-08-05,54.369720458984375,55.12680435180664,66.46121978759766,14.835925102233887,67.27227020263672,96.83326721191406,53.936187744140625,27.462553024291992
2020-08-06,55.13374710083008,56.57901382446289,66.78522491455078,14.717011451721191,67.52822875976562,96.31570434570312,53.92764663696289,27.346939086914062
2020-08-07,54.31241989135742,56.512996673583984,66.8852767944336,14.736832618713379,68.68004608154297,96.62442779541016,54.21791458129883,27.440319061279297
2020-08-10,54.15962219238281,56.324405670166016,67.68570709228516,15.192651748657227,70.37122344970703,96.29754638671875,54.49962615966797,27.707122802734375
2020-08-11,53.185482025146484,55.485145568847656,67.55229949951172,15.141125679016113,70.74604034423828,95.68916320800781,54.12400436401367,27.658206939697266
2020-08-12,54.393592834472656,56.14523696899414,68.44803619384766,15.291744232177734,70.97457122802734,97.29637145996094,54.82402801513672,27.822731018066406
